model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,7,Fridberg,124.75838386140241,-124.75838386140241,257.51676772280484,267.732275289207,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,530,69,32,0.07415711150990759,,1e-06,1e-06,1.0071761018887713,0.0,0.0,True,True
q_learning,95,7,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,9.879160889974571,4.771407106773495,False,False
pvl_delta,95,8,Fridberg,112.58061409684626,-112.58061409684626,233.16122819369252,243.37673576009468,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,345,42,32,0.03442423576808966,,1e-06,1.2300146985399556,1.6101897483980911,0.0,0.0,True,True
q_learning,95,8,Fridberg,127.29790729990293,-127.29790729990293,258.59581459980586,263.70356838300694,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78,20,1,0.003304193531378664,20.0,,,,25.43458640611334,20.326832622912264,False,False
pvl_delta,95,9,Fridberg,116.8017443257537,-116.8017443257537,241.6034886515074,251.81899621790956,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,280,33,32,0.13901993321391634,,1e-06,0.7030673816083607,1.1512419167388654,0.0,0.0,True,True
q_learning,95,9,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,25.79243996127201,20.684686178070933,False,False
pvl_delta,95,10,Fridberg,91.9518092016907,-91.9518092016907,191.9036184033814,202.11912596978354,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,425,50,32,0.003525873440978496,,1e-06,4.365502387995687,3.6448412393563596,0.0,0.0,True,True
q_learning,95,10,Fridberg,106.24042627897087,-106.24042627897087,216.48085255794174,221.58860634114282,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,57,16,1,0.00988512984778565,20.0,,,,24.577234154560358,19.469480371359282,False,False
pvl_delta,95,11,Fridberg,114.64336623339287,-114.64336623339287,237.28673246678574,247.5022400331879,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,520,56,32,0.04752109794215769,,0.8906919901756843,0.44588169048275905,1.9786488559848763,0.0,0.0,True,True
q_learning,95,11,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,30.10919614599368,25.001442362792602,False,False
pvl_delta,95,12,Fridberg,123.45384116558145,-123.45384116558145,254.9076823311629,265.12318989756506,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,350,45,32,0.0003297715149490058,,1.9999996927881727,0.019547292759724333,4.991067100453836,0.0,0.0,True,True
q_learning,95,12,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,12.488246281616512,7.380492498415435,False,False
pvl_delta,95,13,Fridberg,113.50361691858195,-113.50361691858195,235.0072338371639,245.22274140356606,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,645,95,32,0.0337020948083416,,0.49550448971645067,1.3757976758494865,1.9765005054133291,0.0,0.0,True,True
q_learning,95,13,Fridberg,128.5979186526295,-128.5979186526295,261.195837305259,266.30359108846005,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,99,22,1,0.002511310394507441,20.0,,,,26.188603468095067,21.08084968489399,False,False
