model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,1,Fridberg,40.263709201255836,-40.263709201255836,88.52741840251167,98.74292596891384,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,17,32,0.10324471783768832,,1.0736726832862828,0.4596442964401954,2.5563088069826914,0.0,0.0,True,True
q_learning,95,1,Fridberg,45.378016833896766,-45.378016833896766,94.75603366779353,99.86378745099461,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,18,1,0.037336159245625306,20.0,,,,6.22861526528186,1.1208614820807696,False,False
pvl_delta,95,2,Fridberg,131.69796430574954,-131.69796430574954,271.3959286114991,281.6114361779012,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,2,32,1e-06,,1e-06,1e-06,5.7821251330721576e-06,8.38322395532657,13.490977738527647,False,False
q_learning,95,2,Fridberg,129.50635232808625,-129.50635232808625,263.0127046561725,268.1204584393736,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144,34,3,0.0020371836592501646,20.0,,,,0.0,0.0,True,True
pvl_delta,95,3,Fridberg,115.67059202829236,-115.67059202829236,239.34118405658472,249.55669162298688,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,215,22,32,0.15523634530918726,,1e-06,0.23933627172665128,1.2563169320517786,0.0,0.0,True,True
q_learning,95,3,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,28.05474455619469,22.946990772993615,False,False
pvl_delta,95,4,Fridberg,113.34271847960406,-113.34271847960406,234.68543695920812,244.90094452561027,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,655,89,32,0.0935353133388544,,0.44172976358917826,1.2511730013787956,1.5829867659787937,0.0,0.0,True,True
q_learning,95,4,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,32.710491653571296,27.60273787037022,False,False
