model,n_fits,n_converged,mean_negative_log_likelihood,mean_aic,mean_bic,aic_wins,bic_wins,convergence_rate
pvl_delta,4,4,100.24374600372545,208.4874920074509,218.70299957385305,3,3,1.0
q_learning,4,4,109.5700744436906,223.1401488873812,228.24790267058228,1,1,1.0
