n_trials,subject_id,source_study,q_negative_log_likelihood,pvl_negative_log_likelihood,nll_q_minus_pvl,q_aic,pvl_aic,aic_q_minus_pvl,q_bic,pvl_bic,bic_q_minus_pvl,q_nll_improvement_over_uniform,pvl_nll_improvement_over_uniform,uniform_improvement_pvl_minus_q,q_best_aic,pvl_best_aic,q_best_bic,pvl_best_bic
95,1,Fridberg,45.37089438744249,40.26370920171179,5.1071851857307,94.74178877488498,88.52741840342358,6.214370371461399,99.84954255808606,98.74292596982576,1.1066165882602945,86.3270699189471,91.4342551046778,5.1071851857307,False,True,False,True
95,2,Fridberg,129.4816449807581,125.50870326443123,3.972941716326858,262.9632899615162,259.01740652886247,3.9458834326537158,268.07104374471726,269.2329140952646,-1.1618703505473604,2.2163193256315026,6.1892610419583605,3.972941716326858,False,True,True,False
95,3,Fridberg,131.46991462681368,115.67059213378076,15.799322493032918,266.9398292536273,239.34118426756152,27.59864498606578,272.0475830368284,249.55669183396367,22.49089120286476,0.2280496795759177,16.027372172608835,15.799322493032918,False,True,False,True
95,4,Fridberg,131.2505108968527,113.34271847960504,17.90779241724765,266.5010217937054,234.6854369592101,31.81558483449527,271.60877557690645,244.90094452561223,26.70783105129422,0.4474534095369051,18.35524582678454,17.907792417247634,False,True,False,True
95,5,Fridberg,124.31303813079138,113.8412066201304,10.47183151066099,252.6260762615828,235.6824132402608,16.94366302132201,257.7338300447839,245.8979208066629,11.835909238120962,7.38492617559821,17.8567576862592,10.47183151066099,False,True,False,True
95,6,Fridberg,112.28825509627222,102.19900250158128,10.089252594690947,228.57651019254445,212.39800500316252,16.178505189381923,233.68426397574552,222.6135125695648,11.070751406180733,19.40970921011737,29.498961804808303,10.089252594690933,False,True,False,True
95,7,Fridberg,131.69376245527528,124.7583838614024,6.935378593872883,267.3875249105505,257.51676772280484,9.870757187745653,272.49527869375163,267.732275289207,4.763003404544634,0.0042018511143169,6.939580444987186,6.935378593872869,False,True,False,True
95,8,Fridberg,127.1330278621737,112.5806140968496,14.552413765324104,258.26605572434744,233.1612281936992,25.104827530648237,263.3738095075485,243.37673576010133,19.99707374744719,4.564936444215888,19.117350209540007,14.552413765324118,False,True,False,True
95,9,Fridberg,130.94966015817033,116.80174432576976,14.147915832400571,265.89932031634066,241.60348865153952,24.295831664801142,271.00707409954174,251.81899621794167,19.188077881600066,0.7483041482192618,14.896219980619833,14.147915832400571,False,True,False,True
95,10,Fridberg,103.84236753853033,91.951809216342,11.890558322188326,211.68473507706065,191.90361843268403,19.781116644376624,216.7924888602617,202.11912599908612,14.673362861175576,27.85559676785928,39.74615509004758,11.890558322188301,False,True,False,True
95,11,Fridberg,131.63057336548124,114.64336623339288,16.987207132088358,267.2611467309625,237.2867324667857,29.974414264176772,272.3689005141636,247.5022400331879,24.866660480975725,0.0673909409083535,17.054598072996725,16.987207132088372,False,True,False,True
95,12,Fridberg,130.60024288399396,118.91252215268386,11.687720731310094,265.2004857679879,245.82504430536773,19.375441462620188,270.308239551189,256.0405518717699,14.267687679419112,1.0977214223956366,12.78544215370573,11.687720731310094,False,True,False,True
95,13,Fridberg,128.13594301762575,113.50361691861804,14.632326099007713,260.2718860352515,235.0072338372361,25.264652198015398,265.3796398184526,245.22274140363825,20.15689841481432,3.5620212887638445,18.194347387771543,14.632326099007699,False,True,False,True
95,14,Fridberg,131.38525760814446,125.0615429958008,6.32371461234365,266.7705152162889,258.1230859916016,8.6474292246873,271.87826899949,268.33859355800377,3.5396754414862244,0.3127066982451367,6.636421310588787,6.32371461234365,False,True,False,True
95,15,Fridberg,119.1928155645165,118.77931985624592,0.4134957082705739,242.385631129033,245.55863971249184,-3.173008583458852,247.4933849122341,255.774147278894,-8.2807623666599,12.5051487418731,12.918644450143674,0.4134957082705739,True,False,True,False
100,1,Horstmann,137.88073704041278,128.05975738335317,9.82097965705961,279.7614740808256,264.11951476670635,15.641959314119276,284.97181445280177,274.5401955106587,10.431618942143075,0.7486990715762829,10.569678728635893,9.82097965705961,False,True,False,True
100,2,Horstmann,137.2597352530418,129.5576922883703,7.702042964671506,278.5194705060836,267.1153845767406,11.404085929343012,283.7298108780598,277.53606532069296,6.193745557366867,1.3697008589472546,9.07174382361876,7.702042964671506,False,True,False,True
100,3,Horstmann,137.2351210368572,123.57198784063053,13.663133196226681,278.4702420737144,255.14397568126105,23.326266392453363,283.6805824456906,265.5646564252134,18.115926020477218,1.394315075131857,15.057448271358552,13.663133196226696,False,True,False,True
100,4,Horstmann,136.5793969801816,133.84789495013115,2.73150203005045,277.1587939603632,275.6957899002623,1.4630040601009,282.3691343323394,286.11647064421464,-3.7473363118752445,2.050039131807466,4.781541161857916,2.73150203005045,False,True,True,False
100,5,Horstmann,134.6079682972235,122.32312122585392,12.284847071369569,273.21593659444693,252.64624245170785,20.56969414273908,278.4262769664232,263.0669231956602,15.359353770762993,4.0214678147656,16.30631488613514,12.28484707136954,False,True,False,True
100,6,Horstmann,138.52413478095008,81.29523914761413,57.22889563333595,281.04826956190016,170.59047829522825,110.4577912666719,286.2586099338764,181.01115903918063,105.24745089469579,0.1053013310389872,57.33419696437494,57.22889563333595,False,True,False,True
100,7,Horstmann,134.74407430261118,120.6077709726718,14.13630332993938,273.4881486052224,249.2155419453436,24.272606659878818,278.69848897719856,259.63622268929595,19.062266287902617,3.885361809377883,18.021665139317264,14.13630332993938,False,True,False,True
100,8,Horstmann,137.80559270343937,137.39274250051113,0.41285020292824015,279.61118540687875,282.78548500102227,-3.1742995941435197,284.82152577885495,293.2061657449746,-8.384639966119664,0.823843408549692,1.236693611477932,0.41285020292824015,True,False,True,False
100,9,Horstmann,130.09829722862426,109.40651777437034,20.69177945425392,264.1965944572485,226.8130355487407,37.38355890850784,269.4069348292247,237.23371629269303,32.17321853653169,8.531138883364804,29.22291833761872,20.691779454253915,False,True,False,True
100,10,Horstmann,131.91990374425046,109.980346917096,21.939556827154462,267.8398074885009,227.96069383419203,39.879113654308895,273.0501478604771,238.3813745781444,34.66877328233272,6.709532367738603,28.64908919489305,21.939556827154448,False,True,False,True
100,11,Horstmann,137.97773838772784,136.00194233829956,1.9757960494282827,279.9554767754557,280.0038846765991,-0.04840790114343463,285.1658171474319,290.42456542055146,-5.258748273119579,0.6516977242612256,2.6274937736895083,1.9757960494282827,True,False,True,False
100,12,Horstmann,135.58910141636252,130.95641221623114,4.632689200131381,275.17820283272505,269.9128244324623,5.265378400262762,280.38854320470125,280.33350517641463,0.05503802828661719,3.040334695626541,7.673023895757922,4.632689200131381,False,True,False,True
100,13,Horstmann,116.8941383036942,85.75444557212442,31.13969273156978,237.7882766073884,179.50889114424885,58.27938546313956,242.99861697936456,189.9295718882012,53.06904509116336,21.73529780829486,52.87499053986464,31.13969273156978,False,True,False,True
100,14,Horstmann,128.75004718262744,117.9633067092074,10.78674047342004,261.5000943652549,243.9266134184148,17.57348094684008,266.7104347372311,254.3472941623672,12.363140574863877,9.879388929361625,20.666129402781664,10.78674047342004,False,True,False,True
100,15,Horstmann,135.47937855853613,131.91838355903752,3.560994999498604,274.95875711707225,271.83676711807504,3.1219899989972077,280.16909748904845,282.2574478620274,-2.0883503729789368,3.150057553452939,6.711052552951543,3.560994999498604,False,True,True,False
100,16,Horstmann,127.07148797153664,109.74745750046952,17.32403047106712,258.1429759430732,227.49491500093905,30.64806094213418,263.3533163150494,237.9155957448914,25.437720570158035,11.55794814045244,28.88197861151956,17.32403047106712,False,True,False,True
100,17,Horstmann,138.62943611198918,92.64094992635968,45.9884861856295,281.2588722239784,193.2818998527193,87.97697237125911,286.46921259595456,203.7025805966717,82.76663199928285,-1.1368683772161605e-13,45.9884861856294,45.98848618562951,False,True,False,True
100,18,Horstmann,123.12286535843688,62.86111513830309,60.26175022013379,250.24573071687377,133.72223027660618,116.52350044026758,255.45607108885,144.14291102055853,111.31316006829147,15.506570753552182,75.76832097368597,60.26175022013379,False,True,False,True
100,19,Horstmann,137.57827864079815,129.45816636490903,8.120112275889113,279.15655728159635,266.91633272981807,12.240224551778283,284.3668976535725,277.3370134737704,7.029884179802082,1.0511574711908906,9.171269747080032,8.120112275889142,False,True,False,True
100,20,Horstmann,134.0302609545096,114.00463901307153,20.025621941438075,272.0605219090192,236.00927802614305,36.05124388287615,277.2708622809954,246.4299587700954,30.840903510900006,4.599175157479465,24.62479709891756,20.025621941438096,False,True,False,True
100,21,Horstmann,138.62943611198918,138.62943610587652,6.11265704719699e-09,281.2588722239784,285.25887221175304,-3.999999987774629,286.46921259595456,295.6795529557054,-9.21034035975083,-1.1368683772161605e-13,6.112543360359268e-09,6.11265704719699e-09,True,False,True,False
100,22,Horstmann,137.41039914481695,122.89015979709508,14.52023934772187,278.8207982896339,253.78031959419013,25.040478695443767,284.0311386616101,264.2010003381425,19.830138323467622,1.2190369671721155,15.739276314894,14.520239347721883,False,True,False,True
100,23,Horstmann,137.9033153675719,117.88270170048392,20.020613667087986,279.80663073514387,243.76540340096784,36.04122733417603,285.01697110712007,254.18608414492024,30.830886962199827,0.7261207444171305,20.746734411505145,20.020613667088014,False,True,False,True
100,24,Horstmann,137.66955494685553,133.64734623543666,4.02220871141887,279.33910989371105,275.2946924708733,4.044417422837739,284.54945026568726,285.71537321482566,-1.1659229491384053,0.9598811651335382,4.982089876552408,4.02220871141887,False,True,True,False
100,25,Horstmann,102.64589651291944,98.85264104728388,3.7932554656355535,209.29179302583887,205.7052820945677,3.586510931271164,214.50213339781504,216.1259628385201,-1.623829440705066,35.98353959906963,39.7767950647052,3.7932554656355677,False,True,True,False
100,26,Horstmann,107.05077748290329,103.55761453725154,3.493162945651747,218.10155496580657,215.11522907450308,2.986325891303494,223.3118953377828,225.53590981845545,-2.2240144806726505,31.57865862908578,35.07182157473753,3.493162945651747,False,True,True,False
100,27,Horstmann,138.62943611198918,138.6294361118124,1.7678303265711293e-10,281.2588722239784,285.2588722236248,-3.999999999646377,286.46921259595456,295.67955296757714,-9.210340371622578,-1.1368683772161605e-13,1.7666934581939128e-10,1.767830326571129e-10,True,False,True,False
100,28,Horstmann,121.1167017356068,107.40115526586034,13.715546469746457,246.2334034712136,222.80231053172068,23.431092939492913,251.44374384318976,233.22299127567305,18.220752567516712,17.51273437638227,31.22828084612873,13.71554646974646,False,True,False,True
100,29,Horstmann,138.62943611198918,138.6294359286406,1.833485896440834e-07,281.2588722239784,285.2588718572812,-3.999999633302764,286.46921259595456,295.6795526012335,-9.210340005278965,-1.1368683772161605e-13,1.8334847595724568e-07,1.833485896440834e-07,True,False,True,False
100,30,Horstmann,136.53697486692272,122.90705277246792,13.629922094454798,277.07394973384544,253.81410554493584,23.259844188909597,282.28429010582164,264.2347862888882,18.049503816933452,2.092461245066346,15.722383339521144,13.629922094454798,False,True,False,True
100,31,Horstmann,121.37494722320908,116.95737268771347,4.4175745354956035,246.74989444641807,241.91474537542692,4.83514907099115,251.96023481839435,252.3354261193793,-0.37519130098493747,17.25448888877999,21.67206342427557,4.417574535495582,False,True,True,False
100,32,Horstmann,136.36621512666275,131.96209655080497,4.40411857585778,276.7324302533255,271.92419310160994,4.808237151715559,281.9427706253017,282.3448738455623,-0.4021032202605852,2.263220985326313,6.667339561184093,4.40411857585778,False,True,True,False
100,33,Horstmann,107.97952904914877,64.26654492890515,43.71298412024362,219.9590580982976,136.5330898578103,83.4259682404873,225.1693984702737,146.95377060176267,78.21562786851104,30.6499070628403,74.36289118308392,43.71298412024362,False,True,False,True
100,34,Horstmann,135.6574718413813,104.74701598572072,30.910455855660572,275.3149436827626,217.49403197144144,57.820911711321145,280.5252840547388,227.9147127153938,52.610571339345,2.9719642706077707,33.88242012626836,30.910455855660587,False,True,False,True
100,35,Horstmann,138.62943611198918,138.62943611198918,0.0,281.2588722239784,285.2588722239784,-4.0,286.46921259595456,295.6795529679307,-9.210340371976145,-1.1368683772161605e-13,-1.1368683772161605e-13,0.0,True,False,True,False
