criterion,n_subjects,pvl_wins,q_wins,ties,n_non_ties,pvl_win_rate_non_tied,pvl_win_rate_ci_lower,pvl_win_rate_ci_upper,confidence_level,confidence_interval_method,null_pvl_win_probability,binomial_p_value,binomial_alternative
AIC,617,510,107,0,617,0.826580226904376,0.794352127053737,0.8556433225528386,0.95,exact,0.5,7.862106153307869e-64,two-sided
BIC,617,427,190,0,617,0.6920583468395461,0.6539655417361592,0.7283011138321228,0.95,exact,0.5,6.451361692579104e-22,two-sided
