model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,comparison_eligible,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,10,Fridberg,91.95180921634201,-91.95180921634201,191.90361843268403,202.11912599908618,131.6979643063896,39.74615509004758,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,325,47,32,0.0035251647172122548,,1e-06,4.365536902645936,3.6450506219713694,True,0.0,0.0,True,True
q_learning,95,10,Fridberg,103.84236753853031,-103.84236753853031,211.68473507706062,216.7924888602617,131.6979643063896,27.855596767859282,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,23,8,0.001963741781908452,100.0,,,,True,19.781116644376596,14.67336286117552,False,False
pvl_delta,95,11,Fridberg,114.64336623339287,-114.64336623339287,237.28673246678574,247.5022400331879,131.6979643063896,17.054598072996725,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,530,56,32,0.04752109794215769,,0.8906919901756843,0.44588169048275905,1.9786488559848763,True,0.0,0.0,True,True
q_learning,95,11,Fridberg,131.63057336548124,-131.63057336548124,267.2611467309625,272.36890051416356,131.6979643063896,0.06739094090835351,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,8,3,0.4532134795374476,0.038475595193773526,,,,True,29.974414264176744,24.866660480975668,False,False
pvl_delta,95,12,Fridberg,118.91252215268386,-118.91252215268386,245.82504430536773,256.0405518717699,131.6979643063896,12.78544215370573,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,20,32,0.6899250292696851,,1.1998883274973677,1e-06,0.9032981342162641,True,0.0,0.0,True,True
q_learning,95,12,Fridberg,130.60024288399396,-130.60024288399396,265.2004857679879,270.308239551189,131.6979643063896,1.0977214223956366,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,6,2,1.0,0.07982635106718786,,,,True,19.375441462620188,14.267687679419112,False,False
pvl_delta,95,13,Fridberg,113.50361691861805,-113.50361691861805,235.0072338372361,245.22274140363825,131.6979643063896,18.194347387771543,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,340,37,32,0.03370193442687395,,0.49550375613669506,1.3758016915530622,1.9765011860017943,True,0.0,0.0,True,True
q_learning,95,13,Fridberg,128.13594301762575,-128.13594301762575,260.2718860352515,265.3796398184526,131.6979643063896,3.5620212887638445,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,6,10,0.5530670289598469,0.29051089284732373,,,,True,25.264652198015398,20.15689841481432,False,False
pvl_delta,95,14,Fridberg,125.0615429958008,-125.0615429958008,258.1230859916016,268.33859355800377,131.6979643063896,6.636421310588787,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,80,13,32,0.42925837796832084,,0.22054828735945106,0.13027501266710362,0.8879830788671863,True,0.0,0.0,True,True
q_learning,95,14,Fridberg,131.38525760814446,-131.38525760814446,266.7705152162889,271.87826899949,131.6979643063896,0.31270669824513675,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,7,3,1.0,0.04118784128735099,,,,True,8.6474292246873,3.5396754414862244,False,False
pvl_delta,95,15,Fridberg,118.77931985624592,-118.77931985624592,245.55863971249184,255.774147278894,131.6979643063896,12.918644450143674,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,390,42,32,0.0005339437347070469,,0.8369620374570365,1.328752394804663,5.0,True,3.173008583458852,8.280762366659928,False,False
q_learning,95,15,Fridberg,119.1928155645165,-119.1928155645165,242.385631129033,247.49338491223406,131.6979643063896,12.5051487418731,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,5,9,0.0013345806642377103,99.99999999969326,,,,True,0.0,0.0,True,True
pvl_delta,100,1,Horstmann,128.05975738335317,-128.05975738335317,264.11951476670635,274.5401955106587,138.62943611198907,10.569678728635893,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,670,89,32,0.08015420687405525,,1.1229848163681935,0.18986018813626263,1.3716933260464312,True,0.0,0.0,True,True
q_learning,100,1,Horstmann,137.88073704041278,-137.88073704041278,279.76147408082556,284.97181445280177,138.62943611198907,0.7486990715762829,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,6,2,0.6860694096181935,0.09239693558597399,,,,True,15.64195931411922,10.431618942143075,False,False
pvl_delta,100,2,Horstmann,129.5576922883703,-129.5576922883703,267.1153845767406,277.53606532069296,138.62943611198907,9.07174382361876,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,220,29,32,0.06905877425360533,,1e-06,1.121462522091215,1.0167241907724798,True,0.0,0.0,True,True
q_learning,100,2,Horstmann,137.2597352530418,-137.2597352530418,278.5194705060836,283.7298108780598,138.62943611198907,1.3697008589472546,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,9,10,0.45857026649659965,0.16125315988914765,,,,True,11.404085929343012,6.193745557366867,False,False
pvl_delta,100,3,Horstmann,123.57198784063051,-123.57198784063051,255.14397568126103,265.5646564252134,138.62943611198907,15.057448271358552,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,500,71,32,0.07064602987197437,,0.3055576470600052,1e-06,1.3326114463086378,True,0.0,0.0,True,True
q_learning,100,3,Horstmann,137.2351210368572,-137.2351210368572,278.4702420737144,283.6805824456906,138.62943611198907,1.394315075131857,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,4,2,1.0,0.08592325699500146,,,,True,23.32626639245339,18.115926020477218,False,False
pvl_delta,100,4,Horstmann,133.84789495013115,-133.84789495013115,275.6957899002623,286.11647064421464,138.62943611198907,4.781541161857916,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,23,32,0.5655746989668762,,1e-06,2.3204550872419882,0.2953209440600947,True,0.0,3.7473363118752445,True,False
q_learning,100,4,Horstmann,136.5793969801816,-136.5793969801816,277.1587939603632,282.3691343323394,138.62943611198907,2.050039131807466,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,282,68,10,0.0004920443777013559,100.0,,,,True,1.4630040601009,0.0,False,True
pvl_delta,100,5,Horstmann,122.32312122585392,-122.32312122585392,252.64624245170785,263.0669231956602,138.62943611198907,16.30631488613514,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,21,32,0.9410173026906433,,1e-06,0.6105301954629935,0.6253483205995358,True,0.0,0.0,True,True
q_learning,100,5,Horstmann,134.60796829722347,-134.60796829722347,273.21593659444693,278.42627696642313,138.62943611198907,4.0214678147656,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,7,10,0.6644406162844679,0.2743705238651691,,,,True,20.56969414273908,15.359353770762937,False,False
pvl_delta,100,6,Horstmann,81.29523914761413,-81.29523914761413,170.59047829522825,181.01115903918063,138.62943611198907,57.33419696437494,False,1,1,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,490,66,32,0.08177880615349531,,2.0,1e-06,1.4021587011711831,True,0.0,0.0,True,True
q_learning,100,6,Horstmann,138.52413478095008,-138.52413478095008,281.04826956190016,286.25860993387636,138.62943611198907,0.1053013310389872,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,11,3,1.0,0.02455008184369471,,,,True,110.4577912666719,105.24745089469573,False,False
pvl_delta,100,7,Horstmann,120.6077709726718,-120.6077709726718,249.2155419453436,259.63622268929595,138.62943611198907,18.021665139317264,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,115,18,32,0.44073756341381654,,0.16341985852301047,0.042616375584811454,1.0313071845961264,True,0.0,0.0,True,True
q_learning,100,7,Horstmann,134.74407430261118,-134.74407430261118,273.48814860522236,278.69848897719856,138.62943611198907,3.8853618093778834,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,7,10,0.49160196972912723,0.31676780873049226,,,,True,24.27260665987876,19.062266287902617,False,False
pvl_delta,100,8,Horstmann,137.39274250051113,-137.39274250051113,282.78548500102227,293.2061657449746,138.62943611198907,1.236693611477932,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1005,141,32,0.0008204588596855021,,2.0,0.07060971120163412,3.665038325986152,True,3.1742995941435197,8.384639966119664,False,False
