model,parameter,n,mean,standard_deviation,minimum,q1,median,q3,maximum,lower_bound,upper_bound,n_at_lower_bound,rate_at_lower_bound,n_at_upper_bound,rate_at_upper_bound
q_learning,learning_rate,617,0.45467478266173983,0.4599955718726674,0.0,0.0012904933519106,0.2851600219429253,1.0,1.0,0.0,1.0,64,0.10372771474878444,209,0.3387358184764992
q_learning,inverse_temperature,617,26.288343068626776,42.42836201932434,0.0,0.094953312809321,0.2905108928473237,46.999999969113006,100.0,0.0,100.0,64,0.10372771474878444,149,0.24149108589951376
pvl_delta,learning_rate,617,0.37798185163113185,0.39275707715413705,1e-06,0.0154463117059276,0.1852347723893959,0.7912692907122968,0.999999,1e-06,0.999999,17,0.027552674230145867,105,0.17017828200972449
pvl_delta,outcome_sensitivity,617,0.5289220294813869,0.5498664819489383,1e-06,1e-06,0.4024783689639397,0.8210721205204511,2.0,1e-06,2.0,161,0.26094003241491087,31,0.050243111831442464
pvl_delta,loss_aversion,617,1.591534570690842,2.7013509263716022,1e-06,0.0080286507160152,0.4091431001536177,1.7077706928099163,10.0,1e-06,10.0,136,0.22042139384116693,34,0.055105348460291734
pvl_delta,response_consistency,617,1.8353987791384963,1.5831605315205413,0.0,0.8092143592621954,1.2210588248088532,2.211643271333827,5.0,0.0,5.0,5,0.008103727714748784,77,0.12479740680713128
