model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature
q_learning,95,1,Fridberg,45.378016833896595,-45.378016833896595,94.75603366779319,99.86378745099427,131.6979643063896,86.319947472493,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,60,16,1,0.037336160419029665,20.0
q_learning,95,2,Fridberg,129.5063523280797,-129.5063523280797,263.0127046561594,268.1204584393605,131.6979643063896,2.1916119783098793,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,153,29,4,0.0020371851705443893,20.0
q_learning,95,5,Fridberg,124.50019463294993,-124.50019463294993,253.00038926589986,258.10814304910093,131.6979643063896,7.197769673439666,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,23,4,0.004186253222961155,20.0
q_learning,95,6,Fridberg,113.83907257801866,-113.83907257801866,231.67814515603732,236.7858989392384,131.6979643063896,17.858891728370935,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78,13,3,0.009762781833138456,20.0
q_learning,95,8,Fridberg,127.29790729990367,-127.29790729990367,258.59581459980734,263.7035683830084,131.6979643063896,4.400057006485923,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,87,23,3,0.003304193341163643,20.0
q_learning,95,10,Fridberg,106.24042627897238,-106.24042627897238,216.48085255794476,221.58860634114583,131.6979643063896,25.457538027417215,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,3,3,0.009885128634681875,20.0
q_learning,95,13,Fridberg,128.1359430174903,-128.1359430174903,260.2718860349806,265.37963981818166,131.6979643063896,3.5620212888993024,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,7,5,0.5530629427675573,0.29051090693272313
q_learning,95,15,Fridberg,119.27916914205389,-119.27916914205389,242.55833828410778,247.66609206730885,131.6979643063896,12.418795164335705,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,84,16,3,0.006905258536959782,20.0
q_learning,100,4,Horstmann,136.58797401485168,-136.58797401485168,277.17594802970336,282.38628840167956,138.62943611198907,2.0414620971373836,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,4,5,0.0024916701841169253,20.0
q_learning,100,25,Horstmann,104.22056221926962,-104.22056221926962,212.44112443853925,217.65146481051542,138.62943611198907,34.40887389271944,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,75,19,2,0.013822893340462163,19.151788544669454
q_learning,100,28,Horstmann,121.70544388560221,-121.70544388560221,247.41088777120441,252.6212281431806,138.62943611198907,16.923992226386858,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78,19,3,0.007295403757684307,20.0
q_learning,100,31,Horstmann,123.15201297775391,-123.15201297775391,250.30402595550783,255.514366327484,138.62943611198907,15.477423134235153,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,16,2,0.00819203826529253,20.0
q_learning,100,32,Horstmann,137.31433103277044,-137.31433103277044,278.6286620655409,283.8390024375171,138.62943611198907,1.3151050792186254,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,38,5,0.0016685573412686203,20.0
