model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature
q_learning,95,1,Fridberg,45.37089438744249,-45.37089438744249,94.74178877488498,99.84954255808606,131.6979643063896,86.3270699189471,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,18,4,0.03582856996091687,20.677677172805854
q_learning,95,2,Fridberg,129.48781592642206,-129.48781592642206,262.9756318528441,268.0833856360452,131.6979643063896,2.210148379967535,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189,43,4,0.0008159340061688547,50.0
q_learning,95,5,Fridberg,124.35927871285968,-124.35927871285968,252.71855742571935,257.82631120892046,131.6979643063896,7.338685593529917,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,123,30,5,0.001671129986162902,50.0
q_learning,95,6,Fridberg,112.66237469989929,-112.66237469989929,229.32474939979858,234.43250318299965,131.6979643063896,19.035589606490305,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,90,24,4,0.003981408860914372,50.0
q_learning,95,8,Fridberg,127.17481294204451,-127.17481294204451,258.34962588408905,263.4573796672901,131.6979643063896,4.5231513643450825,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,117,26,4,0.001335345624427206,50.0
q_learning,95,10,Fridberg,104.38367986042797,-104.38367986042797,212.76735972085595,217.87511350405703,131.6979643063896,27.31428444596162,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,26,4,0.003963351545531147,50.0
q_learning,95,13,Fridberg,128.1359430174903,-128.1359430174903,260.2718860349806,265.37963981818166,131.6979643063896,3.5620212888993024,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,7,5,0.5530629427675573,0.29051090693272313
q_learning,95,15,Fridberg,119.20936158183979,-119.20936158183979,242.41872316367957,247.52647694688065,131.6979643063896,12.488602724549807,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,195,40,4,0.002694836041541852,50.0
q_learning,100,4,Horstmann,136.58148356504643,-136.58148356504643,277.16296713009285,282.37330750206905,138.62943611198907,2.047952546942639,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,222,53,5,0.000987252495467977,50.0
q_learning,100,25,Horstmann,102.96309355431791,-102.96309355431791,209.92618710863582,215.136527480612,138.62943611198907,35.66634255767116,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,27,4,0.005199817255741227,50.0
